Z(km) O2+ O+ CO2+ CO+ NO+ N2+ OH+ H+ HCO+
152.385 7.22 260 670 267 1.49 35.5 0 0.00635 0
153.081 7.19 252 647 258 1.43 34.6 0 0.00653 0
153.784 7.15 243 624 250 1.37 33.7 0 0.0067 0
154.492 7.1 234 601 241 1.32 32.7 0 0.00686 0
155.206 7.02 226 580 233 1.26 31.8 0 0.00699 0
155.926 6.86 220 565 226 1.22 30.8 0 0.00707 0
156.653 6.69 214 549 219 1.18 29.8 0 0.00715 0
157.385 6.52 208 532 212 1.13 28.8 0 0.00723 0
158.123 6.34 201 515 204 1.09 27.7 0 0.00732 0
158.868 6.15 194 497 196 1.04 26.6 0 0.00741 0
159.619 5.95 187 477 188 0.997 25.4 0 0.00751 0
160.375 5.89 179 455 179 0.974 24.6 0 0.00764 0
161.138 5.96 170 429 169 0.977 24.3 0 0.0078 0
161.907 6.04 160 401 159 0.98 23.9 0 0.00797 0
162.682 6.12 150 371 148 0.983 23.5 0 0.00816 0
163.464 6.21 139 340 136 0.986 23 0 0.00835 0
164.251 6.3 127 307 124 0.989 22.6 0 0.00855 0
165.045 6.37 116 274 112 0.99 22.1 0 0.00874 0
165.845 6.17 111 262 107 0.938 21.3 0 0.00879 0
166.651 5.97 106 250 102 0.885 20.5 0 0.00883 0
167.463 5.77 101 237 97.3 0.832 19.7 0 0.00887 0
168.282 5.55 96.3 225 92.3 0.777 18.9 0 0.00892 0
169.107 5.34 91.2 212 87.3 0.723 18 0 0.00897 0
169.938 5.11 85.8 199 82 0.667 17.2 0 0.00902 0
170.775 4.97 83.5 193 79.4 0.656 16.8 0 0.009 0
171.619 4.84 81.3 189 77 0.648 16.6 0 0.00898 0
172.469 4.7 79.2 184 74.6 0.641 16.3 0 0.00896 0
173.326 4.56 77 179 72.1 0.633 16 0 0.00893 0
174.188 4.42 74.9 175 69.7 0.625 15.7 0 0.00891 0
175.058 4.28 72.6 170 67.1 0.618 15.4 0 0.00889 0
175.933 4.16 69.4 161 63.8 0.61 14.6 0 0.00889 0
176.815 4.05 66.2 153 60.5 0.603 13.7 0 0.0089 0
177.703 3.93 62.9 144 57 0.596 12.9 0 0.0089 0
178.598 3.81 59.5 135 53.6 0.588 12 0 0.0089 0
179.499 3.68 56.1 126 50 0.58 11.1 0 0.00891 0
180.407 3.55 53.1 118 46.5 0.57 10.5 0 0.0089 0
181.321 3.42 50.4 110 43 0.557 10.2 0 0.00889 0
182.242 3.28 47.8 103 39.5 0.544 9.84 0 0.00888 0
183.169 3.14 45.1 95.1 35.9 0.531 9.49 0 0.00887 0
184.102 3 42.4 87.2 32.2 0.518 9.14 0 0.00886 0
